acousticness,danceability,duration,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,valence,popular
0.581,0.825,233713,0.652,0,1,0.0931,-3.183,0,0.0802,95.977,0.931,1
0.229,0.694,228827,0.815,0,2,0.0924,-4.328,1,0.12,88.931,0.813,1
0.000259,0.904,177000,0.611,0.0000203,1,0.0976,-6.842,0,0.0888,150.02,0.4,1
0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,0.733,1
0.00264,0.732,182707,0.75,0,11,0.109,-6.366,0,0.231,155.096,0.401,1
0.13,0.577,218320,0.522,0.0000903,5,0.142,-6.594,0,0.0984,159.772,0.119,1
0.198,0.627,220293,0.812,0,6,0.212,-4.215,1,0.0358,123.071,0.504,1
0.0552,0.609,288600,0.668,0,7,0.167,-4.284,1,0.0367,80.924,0.811,1
0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,0.281,1
0.0498,0.617,247160,0.635,0.0000144,11,0.164,-6.769,0,0.0317,103.019,0.446,1
0.013,0.853,206693,0.56,0,1,0.0944,-4.961,1,0.0406,134.066,0.86,1
0.209,0.66,228200,0.786,0,2,0.112,-4.757,1,0.17,177.833,0.846,1
0.57,0.629,250173,0.572,0,5,0.192,-7.733,0,0.0387,100.015,0.386,1
0.0524,0.779,204347,0.787,0,10,0.14,-4.305,0,0.108,124.982,0.708,1
0.119,0.64,220781,0.533,0,0,0.0864,-6.596,1,0.0706,99.968,0.515,1
0.00683,0.6,187147,0.81,0.21,0,0.155,-4.749,1,0.0479,167.88,0.298,1
0.0969,0.774,211475,0.626,0.0000312,3,0.0848,-4.432,0,0.0432,100.041,0.777,1
0.232,0.679,210091,0.634,0,5,0.115,-5.024,0,0.0654,102.013,0.498,1
0.33,0.736,219080,0.449,0.000162,1,0.0898,-11.462,0,0.425,80.126,0.326,1
0.186,0.768,216897,0.517,0.000038,7,0.104,-4.323,0,0.0312,104.992,0.418,1
0.378,0.746,253107,0.653,0,7,0.229,-6.745,1,0.289,75.016,0.672,1
0.695,0.358,211467,0.557,0,10,0.0902,-7.398,1,0.059,85.043,0.494,1
0.061,0.927,343150,0.665,0,11,0.123,-5.313,1,0.244,127.076,0.175,1
0.0215,0.653,221507,0.658,0.00000166,2,0.0939,-6.428,1,0.0304,99.99,0.219,1
0.00256,0.771,208827,0.696,0.00000971,9,0.179,-6.258,0,0.0755,116.054,0.656,1
0.413,0.706,176320,0.427,0,8,0.0609,-6.864,1,0.0879,113.804,0.42,1
0.414,0.748,244960,0.524,0,8,0.111,-5.599,1,0.0338,95.01,0.661,1
0.0148,0.543,189440,0.677,0.00000621,11,0.13,-4.915,0,0.0993,103.809,0.294,1
0.163,0.599,263400,0.448,0,8,0.106,-6.312,1,0.0232,95.05,0.168,1
0.0329,0.671,204173,0.672,0,0,0.118,-3.094,0,0.0688,97.98,0.632,1
0.256,0.809,298941,0.463,0.085,11,0.109,-11.377,1,0.0396,111.98,0.364,1
0.165,0.681,230453,0.594,0.00000349,7,0.134,-7.028,1,0.282,186.054,0.535,1
0.381,0.857,199440,0.8,0,2,0.0913,-4.035,1,0.0583,121.996,0.966,1
0.246,0.869,204502,0.485,0,6,0.0765,-5.595,1,0.0545,106.028,0.527,1
0.075,0.696,216409,0.817,0,1,0.187,-3.862,1,0.109,98.064,0.782,1
0.199,0.798,202547,0.539,0.0000166,1,0.165,-6.351,1,0.0421,136.949,0.394,1
0.0047,0.637,185947,0.514,0,1,0.094,-6.763,1,0.365,139.931,0.402,1
0.498,0.736,230813,0.795,0.00000121,1,0.254,-3.299,0,0.0545,104.066,0.511,1
0.0847,0.841,243837,0.728,0,7,0.149,-3.37,1,0.0484,130.049,0.43,1
0.0151,0.884,220307,0.346,0.00000704,8,0.0871,-8.228,0,0.351,75.016,0.376,1
0.108,0.927,210937,0.488,0,9,0.196,-9.433,0,0.42,133.987,0.605,1
0.199,0.743,326933,0.359,0.00611,1,0.137,-10.401,1,0.0794,160.083,0.587,1
0.105,0.77,222360,0.567,0,2,0.125,-5.698,1,0.175,81.477,0.26,1
0.406,0.72,251088,0.763,0,9,0.18,-4.068,0,0.0523,101.965,0.742,0
0.427,0.768,269187,0.813,0,0,0.102,-5.94,0,0.128,92.994,0.579,0
0.256,0.52,180823,0.761,0.00000496,4,0.17,-3.093,1,0.0853,141.971,0.286,0
0.0214,0.704,203760,0.633,0,11,0.29,-6.923,0,0.241,144.021,0.863,0
0.0232,0.461,261154,0.834,0.0000114,2,0.14,-4.868,1,0.0989,135.007,0.471,0
0.0735,0.624,170827,0.876,0,9,0.327,-3.374,1,0.1,99.943,0.781,0
0.463,0.731,165387,0.469,0.00000104,5,0.103,-7.226,1,0.0326,98.963,0.631,0
0.0642,0.893,223413,0.745,0,11,0.0943,-3.105,0,0.0571,101.018,0.872,0
0.259,0.707,212459,0.629,0.000016,0,0.138,-4.581,0,0.0563,122.863,0.457,0
0.0895,0.584,220883,0.54,0,1,0.261,-7.786,0,0.0576,137.972,0.195,0
0.0623,0.676,222041,0.843,0.000752,0,0.181,-4.068,1,0.0367,105.003,0.718,0
0.219,0.548,194897,0.65,0,8,0.225,-5.827,0,0.0591,144.937,0.557,0
0.535,0.752,197437,0.505,0.00000255,9,0.104,-7.621,1,0.253,91.97,0.419,0
0.034,0.644,203000,0.743,0,5,0.257,-5.002,0,0.0355,123.074,0.544,0
0.00784,0.791,173987,0.619,0.00423,1,0.351,-5.886,1,0.0532,103.989,0.371,0
0.11,0.746,181615,0.793,0,11,0.0528,-4.209,0,0.0412,104.027,0.557,0
0.101,0.258,239000,0.437,0.00000127,11,0.106,-6.593,0,0.039,180.043,0.0967,0
0.0323,0.731,220454,0.794,0.0000259,0,0.112,-5.126,0,0.0522,139.994,0.356,0
0.0129,0.734,188174,0.418,0,0,0.0579,-6.678,1,0.0425,85.909,0.868,0
0.213,0.773,211859,0.68,0.0000157,9,0.122,-6.378,0,0.141,128.062,0.497,0
0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733,0
0.034,0.818,225983,0.803,0,1,0.153,-4.282,1,0.0797,106.97,0.632,0
0.105,0.658,214802,0.588,0.00000128,6,0.125,-4.902,0,0.0367,110.075,0.434,0
0.157,0.314,175517,0.555,0.000108,9,0.067,-9.601,1,0.37,179.666,0.159,0
0.0575,0.741,223504,0.667,0,10,0.106,-5.445,1,0.134,112.956,0.595,0
0.137,0.673,201160,0.637,0,5,0.184,-4.518,1,0.0429,123.98,0.678,0
0.0435,0.744,174933,0.836,0,6,0.194,-2.396,0,0.0507,114.965,0.36,0
0.0784,0.476,205947,0.718,0.0000102,8,0.122,-5.309,1,0.0576,199.864,0.142,0
0.187,0.852,195840,0.773,0.0000305,8,0.159,-2.921,0,0.0776,102.034,0.907,0
0.402,0.721,181933,0.626,0,4,0.102,-4.2,1,0.123,99.914,0.558,0
0.124,0.611,221904,0.644,0,6,0.124,-7.607,0,0.0553,105.969,0.13,0
0.231,0.755,229849,0.789,0,5,0.351,-4.502,1,0.146,93.973,0.737,0
0.652,0.698,201000,0.375,0,5,0.173,-8.279,1,0.0491,91.92,0.534,0
0.0275,0.516,340707,0.595,0,5,0.109,-4.63,1,0.0313,119.972,0.222,0
0.21,0.675,239293,0.69,0,2,0.287,-4.761,1,0.132,137.817,0.272,0
0.158,0.855,180757,0.624,0,1,0.0513,-4.093,1,0.0488,117.959,0.962,0
0.0733,0.448,237734,0.801,0,0,0.146,-5.363,1,0.165,189.798,0.462,0
0.0744,0.684,208163,0.823,0,9,0.111,-3.297,0,0.0773,91.048,0.647,0
0.163,0.876,213947,0.669,0,11,0.185,-6.054,0,0.138,124.007,0.682,0
0.16,0.542,208053,0.859,0.00466,11,0.137,-5.651,1,0.197,159.797,0.403,0
0.0767,0.573,231907,0.781,0.0000264,8,0.0813,-6.406,1,0.0555,139.934,0.343,0
0.0038,0.544,197640,0.809,0,8,0.323,-5.098,1,0.0363,145.017,0.448,0
0.0408,0.648,226160,0.738,0,6,0.292,-5.883,0,0.247,159.145,0.603,0
0.0592,0.49,195840,0.485,0,4,0.337,-6.237,0,0.0406,133.889,0.196,0
0.00383,0.647,198774,0.932,0.0000015,11,0.0574,-3.515,1,0.0824,114.991,0.374,0
0.243,0.683,219507,0.691,0,8,0.14,-5.535,1,0.0432,179.91,0.732,0
0.586,0.789,192846,0.442,0.00366,11,0.0927,-7.844,1,0.0421,121.971,0.45,0
0.0559,0.832,209453,0.772,0.000486,10,0.44,-5.429,1,0.1,96.016,0.704,0
0.246,0.708,271080,0.693,0,6,0.129,-5.516,1,0.138,143.965,0.427,0
0.341,0.775,214265,0.617,0,7,0.0985,-6.166,1,0.0701,100.048,0.485,0
0.118,0.697,234308,0.716,0,9,0.0424,-6.288,0,0.113,99.905,0.506,0
